@RELATION DiggSocialDynamics_AuthorshipBasedFeatures
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorcomments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
2184, 10, 184, 84, 403, B
232, 0, 58, 47, 5, B
1093, 2, 115, 31, 18, A
147388, 29039, 12127, 397, 1404, B
505, 0, 0, 0, 21, A
2184, 10, 184, 84, 403, B
8027, 2, 591, 46, 122, C
43658, 930, 2596, 970, 4284, A
250, 3, 91, 65, 2, A
6422, 369, 1209, 1902, 3324, B
7738, 2, 497, 34, 111, B
2193, 13, 722, 37, 406, A
7738, 2, 497, 34, 111, B
97290, 1576, 26421, 615, 20976, A
78181, 739, 5043, 283, 864, B
1293, 6, 278, 456, 323, A
12849, 151, 884, 201, 165, C
7885, 24, 564, 123, 231, B
22154, 55, 2658, 176, 324, C
40645, 822, 2959, 433, 506, A
2520, 12, 313, 198, 66, A
97290, 1576, 26421, 615, 20976, A
424, 3, 252, 375, 11, C
952, 2, 922, 17, 312, B
64153, 834, 2440, 1044, 31513, B
776, 0, 54, 51, 608, A
6, 1, 30, 23, 6, C
4878, 43, 336, 41, 97, B
14439, 55, 1162, 687, 283, B
7885, 24, 564, 123, 231, A
325505, 14513, 20355, 311, 2148, A
148237, 1200, 13868, 488, 3516, B
41348, 6137, 3496, 446, 2269, C
9835, 138, 663, 135, 143, B
116403, 2859, 6080, 374, 586, C
10622, 4, 1510, 38, 140, C
15463, 96, 1258, 886, 10121, B
54692, 303, 2239, 401, 2090, A
79238, 379, 1781, 1437, 1328, C
147388, 29039, 12127, 397, 1404, C
79238, 379, 1781, 1437, 1328, A
163183, 2959, 8721, 1131, 2273, B
36, 0, 25, 63, 3, A
22, 5, 33, 12, 1, C
24696, 612, 2727, 102, 383, A
52100, 329, 3954, 301, 678, A
14215, 37, 2529, 232, 308, B
13879, 6396, 1023, 81, 682, C
8695, 11, 895, 511, 148, B
776, 106, 269, 429, 456, A
11518, 1191, 1056, 580, 534, A
776, 106, 269, 429, 456, B
530, 197, 114, 121, 6, B
7885, 24, 564, 123, 231, A
36, 0, 25, 63, 3, C
17950, 373, 1144, 282, 1139, A
54692, 303, 2239, 401, 2090, C
54692, 303, 2239, 401, 2090, A
12541, 292, 1596, 372, 254, B
12849, 151, 884, 201, 165, B
4426, 48, 402, 161, 57, A
6570, 74, 459, 425, 83, A
626, 11, 210, 19, 61, A
97290, 1576, 26421, 615, 20976, B
201, 39, 1082, 1930, 51, A
61, 0, 0, 0, 3, B
20915, 6165, 1549, 977, 5409, C
161, 68, 258, 339, 102, A
108053, 1205, 7385, 351, 1595, B
93, 1, 7, 6, 72, C
2170, 4, 445, 442, 211, B
217898, 11753, 11736, 183, 2468, A
2414, 1244, 410, 336, 59, C
96511, 2674, 9414, 552, 1830, C
123675, 3530, 15477, 516, 1738, B
7761, 1066, 427, 681, 255, B
325505, 14513, 20355, 311, 2148, C
325505, 14513, 20355, 311, 2148, C
16551, 649, 842, 302, 7313, C
4387, 6, 332, 38, 103, C
7885, 24, 564, 123, 231, C
7885, 24, 564, 123, 231, C
457, 7, 84, 54, 17, A
457, 7, 84, 54, 17, B
325505, 14513, 20355, 311, 2148, C
97290, 1576, 26421, 615, 20976, C
4097, 3, 321, 35, 62, C
23780, 118, 3289, 1189, 306, C
4452, 637, 189, 4, 2492, B
290, 18, 137, 39, 14, C
4419, 6, 325, 41, 64, C
9037, 3, 530, 39, 127, B
9037, 3, 530, 39, 127, B
496, 11, 419, 532, 352, A
72084, 3896, 6801, 368, 1376, B
692, 2, 100, 57, 17, C
766, 9, 132, 40, 33, B
766, 9, 132, 40, 33, B
74114, 3551, 3051, 155, 1800, C
766, 9, 132, 40, 33, B
2939, 2, 204, 42, 38, B
109878, 4376, 10365, 1581, 1942, B
699, 0, 88, 34, 23, B
8751, 6074, 434, 10, 120, A
9852, 20, 898, 664, 90, A
9935, 799, 1102, 104, 8659, B
2379, 1, 227, 33, 45, B
97290, 1576, 26421, 615, 20976, C
325505, 14513, 20355, 311, 2148, C
59347, 3171, 2817, 638, 2221, C
147388, 29039, 12127, 397, 1404, C
3088, 1, 268, 42, 68, B
163187, 2959, 8721, 1131, 2273, A
1439, 4, 126, 31, 30, B
14439, 55, 1162, 687, 283, A
13128, 69, 1540, 96, 528, A
14439, 55, 1162, 687, 283, B
14439, 55, 1162, 687, 283, C
41348, 6137, 3496, 446, 2269, A
41348, 6137, 3496, 446, 2269, A
70709, 1915, 4183, 300, 869, C
8912, 3808, 645, 1, 4325, A
43658, 930, 2596, 970, 4284, B
43658, 930, 2596, 970, 4284, A
830, 35, 118, 2, 434, B
1666, 10, 199, 177, 725, B
2975, 23, 460, 43, 62, B
9835, 138, 663, 135, 143, A
1139, 7, 162, 36, 36, C
115800, 1166, 12264, 1991, 3103, B
10622, 4, 1510, 38, 140, C
39603, 1084, 4589, 44, 724, A
11497, 18, 571, 44, 165, B
97290, 1576, 26421, 615, 20976, C
79238, 379, 1781, 1437, 1328, C
43658, 930, 2596, 970, 4284, A
212, 0, 126, 112, 9, B
212, 0, 126, 112, 9, B
217898, 11753, 11736, 183, 2468, A
93293, 496, 10073, 396, 1552, A
97290, 1576, 26421, 615, 20976, B
1946, 193, 274, 174, 1010, B
2241, 155, 130, 47, 1676, B
15007, 477, 1648, 660, 6719, B
97290, 1576, 26421, 615, 20976, C
1224, 2, 103, 15, 1147, B
4434, 297, 382, 323, 3596, C
9835, 138, 663, 135, 143, A
2515, 1454, 182, 30, 216, C
1565, 0, 280, 34, 77, A
97290, 1576, 26421, 615, 20976, C
2212, 5, 89, 14, 208, A
15007, 477, 1648, 660, 6719, A
1662, 5, 202, 20, 40, B
112227, 762, 9184, 907, 3275, C
461, 0, 103, 52, 14, C
461, 0, 103, 52, 14, A
49, 0, 24, 0, 41, B
49, 0, 24, 0, 41, B
538, 0, 179, 34, 28, B
109878, 4376, 10365, 1581, 1942, C
2808, 1, 123, 52, 50, A
145565, 367, 13198, 1644, 3369, C
2524, 39, 796, 11, 2499, B
161, 68, 258, 339, 102, A
47, 7, 41, 14, 8, C
6490, 113, 1598, 2527, 100, C
60326, 1112, 9794, 228, 1776, C
47, 7, 41, 14, 8, B
789, 1, 85, 10, 68, B
2077, 587, 544, 717, 861, B
225, 1, 37, 9, 26, A
22926, 37, 3992, 522, 5451, B
12849, 151, 884, 201, 165, C
933, 0, 16, 6, 620, A
2611, 7, 251, 269, 41, B
4834, 37, 338, 33, 78, B
54132, 533, 2828, 29, 416, C
4878, 43, 336, 41, 97, A
59648, 1268, 4852, 112, 796, C
789, 7, 148, 613, 55, A
429, 11, 393, 344, 13, A
5133, 21, 338, 431, 100, B
5133, 21, 338, 431, 100, A
97290, 1576, 26421, 615, 20976, C
151, 4, 46, 33, 4, A
133, 0, 40, 3, 7, A
43, 1, 13, 0, 1, A
151, 4, 46, 33, 4, A
96511, 2674, 9414, 552, 1830, B
68, 1, 322, 669, 38, A
54132, 533, 2828, 29, 416, A
2287, 1, 90, 18, 42, A
1864, 4, 75, 42, 44, A
2287, 1, 90, 18, 42, A
27, 0, 10, 12, 6, A
56, 0, 31, 146, 4, A
217898, 11753, 11736, 183, 2468, B
10909, 19, 840, 958, 4552, C
28266, 1051, 8871, 276, 2177, A
6096, 13044, 1952, 526, 724, C
7567, 252, 524, 50, 120, A
386, 2, 56, 46, 7, B
890, 9, 248, 15, 40, B
3747, 6, 236, 90, 62, A
3747, 6, 236, 90, 62, A
21837, 133, 4481, 145, 1025, B
109470, 548, 6099, 283, 894, C
71992, 2222, 3469, 272, 467, B
5191, 3, 1228, 52, 2597, C
8218, 154, 820, 241, 1796, B
171, 1, 49, 26, 9, A
24696, 612, 2727, 102, 383, B
1048, 3456, 484, 446, 148, A
60326, 1112, 9794, 228, 1776, A
128, 2, 8, 7, 101, B
50657, 264, 2939, 179, 632, A
121655, 5736, 6634, 1037, 933, C
133793, 409, 10217, 237, 1326, B
56471, 785, 2951, 170, 461, A
960, 140, 214, 156, 32, A
78181, 739, 5043, 283, 864, B
7366, 210, 1042, 270, 198, B
2975, 23, 460, 43, 62, B
51937, 218, 3966, 581, 544, B
5084, 5536, 453, 120, 5034, B
115295, 124, 6578, 381, 1522, B
5800, 113, 1909, 121, 4090, C
115295, 124, 6578, 381, 1522, C
3687, 9, 457, 30, 85, B
7093, 14, 610, 395, 66, A
82893, 121, 8760, 875, 1841, B
116403, 2859, 6080, 374, 586, C
56471, 785, 2951, 170, 461, B
82843, 711, 5949, 108, 939, A
13439, 12, 1599, 54, 282, C
82893, 121, 8760, 875, 1841, B
217898, 11753, 11736, 183, 2468, A
23780, 118, 3289, 1189, 306, B
55961, 23, 3799, 151, 872, C
13439, 12, 1599, 54, 282, B
11497, 18, 571, 44, 165, B
10622, 4, 1510, 38, 140, B
4426, 48, 402, 161, 57, A
94893, 24739, 3052, 949, 1864, A
6570, 74, 459, 425, 83, C
1328, 16, 136, 26, 13, A
145565, 367, 13198, 1644, 3369, C
2184, 10, 184, 84, 403, A
54692, 303, 2239, 401, 2090, C
22926, 37, 3992, 522, 5451, C
2205, 13, 768, 22, 307, C
12849, 151, 884, 201, 165, C
16387, 4852, 2807, 588, 4178, C
325505, 14513, 20355, 311, 2148, C
2170, 4, 445, 442, 211, B
97290, 1576, 26421, 615, 20976, C
22154, 55, 2658, 176, 324, C
16387, 4852, 2807, 588, 4178, A
71992, 2222, 3469, 272, 467, B
6570, 74, 459, 425, 83, B
89683, 15816, 14333, 1550, 2667, C
37, 1, 4, 6, 34, B
96511, 2674, 9414, 552, 1830, C
59805, 754, 4787, 284, 1094, A
2658, 10, 350, 36, 142, B
