@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,0,3,9,5,6,912,258,270,288,131,A
0,0,3,9,6,6,345,73,53,12,249,A
0,0,3,9,8,8,355,5,141,247,109,A
0,0,2,8,3,6,3888,281,183,94,467,B
0,0,0,4,0,2,2,1,0,0,2,A
0,0,5,11,4,5,6937,1151,539,1005,4452,B
0,0,5,11,6,11,76527,214,1784,926,2152,B
0,0,5,11,6,7,25900,1404,1003,354,552,B
0,0,5,11,7,8,25900,1404,1003,354,552,B
0,0,4,11,4,5,46,28,4,11,37,A
0,0,4,10,4,5,46,28,4,11,37,A
0,0,4,10,5,6,498,3,86,34,367,A
0,0,4,10,4,5,46,28,4,11,37,A
0,0,4,10,4,5,46,28,4,11,37,A
0,0,4,10,3,3,315,0,0,0,5,A
0,0,4,10,4,5,46,28,4,11,37,A
0,0,4,10,5,5,3585,253,1066,96,756,A
0,0,0,1,0,5,271,1,2,1,258,A
0,0,5,11,5,5,231,0,27,15,164,A
0,0,4,10,5,5,73,7,60,17,22,A
0,0,5,12,21,30,7997,26,568,124,235,C
0,0,5,11,3,4,6937,1151,539,1005,4452,A
0,0,5,11,27,38,7997,26,568,124,235,C
8,14,5,11,33,43,23813,118,3294,1189,306,D
0,0,5,11,13,22,325505,14513,20359,311,2148,B
0,0,3,9,4,4,28,1,58,50,8,B
0,0,0,4,0,6,238,1,50,0,164,A
21,44,6,12,4,10,41348,6137,3497,446,2269,D
0,0,6,12,3,3,12160,1336,844,360,1717,A
0,0,6,12,2,4,147,5,27,47,15,A
0,0,6,12,6,6,340,134,67,9,267,B
0,0,5,12,4,4,1765,16,214,155,1182,A
0,0,5,12,17,28,991,1087,259,3,111,D
0,0,5,11,2,4,2691,237,366,435,551,A
0,0,5,11,4,6,627,0,68,0,415,B
0,0,5,11,5,6,4343,55,305,142,469,B
7,15,5,11,16,29,13363,398,624,486,4417,B
0,0,5,11,5,5,22943,1148,2774,664,3184,B
0,0,4,10,8,8,269,0,91,63,131,B
0,0,3,9,5,6,5378,0,4,0,3722,A
0,0,3,9,5,7,726,1,53,16,643,A
0,0,2,9,2,3,5042,2985,462,331,551,A
0,0,2,8,3,3,677,7,132,265,615,A
0,0,1,7,3,3,345,73,53,12,249,B
7,14,1,7,3,6,54741,303,2240,401,2090,B
0,6,6,12,13,19,52008,218,3972,581,544,C
24,45,6,12,15,21,147417,29039,12137,397,1404,D
0,0,5,12,7,9,9038,39,424,472,133,B
0,0,5,11,2,3,260,165,190,239,107,B
0,0,5,11,3,3,6937,1151,539,1005,4452,A
0,0,5,11,5,5,76527,214,1784,926,2152,B
8,15,4,10,20,30,99,2,66,53,61,C
0,0,0,6,0,3,5219,0,6,3,3518,A
0,0,0,5,0,3,7169,9,137,212,3809,B
0,0,5,11,35,44,7997,26,568,124,235,C
0,0,4,10,5,5,2938,24,221,69,55,B
0,0,6,12,3,3,2454,255,282,391,726,A
0,0,4,10,2,2,6937,1151,539,1005,4452,B
0,0,6,12,7,7,12489,90,1002,532,115,A
7,14,5,11,4,15,5678,119,471,0,2393,B
0,0,5,11,2,2,6937,1151,539,1005,4452,A
0,0,5,11,20,26,414,0,173,150,18,B
0,0,5,11,14,26,113,0,7,0,92,C
0,0,4,11,14,25,414,0,173,150,18,B
0,0,4,10,13,21,97303,1576,26429,615,20977,D
0,0,2,9,2,4,8283,1103,1806,756,149,B
0,0,6,12,2,2,1858,0,397,458,1203,A
0,0,5,11,5,7,2786,0,2,0,1637,A
0,0,5,11,5,6,2751,0,2,0,1726,A
0,0,4,11,10,10,22,4,90,54,9,B
0,0,4,11,4,4,27425,2590,531,37,9872,B
0,0,4,10,5,6,9355,2516,265,3,2027,A
0,0,4,10,4,4,5378,0,4,0,3722,A
0,0,2,9,4,4,42823,901,2147,422,2970,B
0,0,2,8,2,2,323,69,127,140,126,A
0,0,1,7,2,3,639,0,185,382,343,B
0,0,6,12,6,6,24,0,0,0,5,A
0,0,5,12,20,27,351,2,75,327,4,C
0,0,5,11,7,10,1073,258,507,110,46,C
8,15,5,11,19,32,4066,0,218,40,54,C
0,0,5,12,4,4,741,49,184,390,221,A
0,0,5,11,4,9,25900,1404,1003,354,552,B
0,0,5,11,2,4,25900,1404,1003,354,552,B
0,0,6,12,3,3,2252,155,132,48,1686,A
8,15,5,11,13,14,5025,10,311,40,56,C
0,0,5,11,14,28,5025,10,311,40,56,C
0,0,5,11,2,2,4041,3425,348,179,324,B
0,0,4,10,8,11,1168,3309,255,139,90,B
0,0,3,9,2,3,2324,0,4,0,956,A
7,14,0,6,0,8,6093,462,264,1,2513,B
0,0,0,2,0,3,1513,356,587,9,527,B
0,0,5,11,6,6,6065,6194,485,24,1404,A
14,30,6,12,11,22,41348,6137,3497,446,2269,C
7,15,6,12,20,23,93204,482,19944,1605,4426,C
0,8,6,11,15,23,93204,482,19944,1605,4426,C
0,0,6,11,15,22,766,9,137,40,33,B
0,0,5,11,22,25,766,9,137,40,33,C
0,0,4,10,5,8,16551,649,843,302,7313,B
0,0,6,12,7,13,16551,649,843,302,7313,B
7,15,6,12,22,40,3687,9,460,30,85,D
0,0,6,12,11,15,15835,2395,1406,387,263,B
0,0,6,12,7,11,15835,2395,1406,387,263,C
7,15,5,11,14,22,41464,162,4975,196,704,C
0,0,5,11,4,5,16551,649,843,302,7313,B
14,30,5,11,20,32,3975,20,361,44,69,C
0,0,5,11,20,31,3975,20,361,44,69,B
8,15,3,10,16,23,16551,649,843,302,7313,C
0,0,2,8,2,3,3293,3,140,33,33,B
6,14,0,4,0,5,2167,38,166,121,407,D
0,0,6,12,8,9,211,3,66,176,175,A
7,16,6,12,20,27,97303,1576,26429,615,20977,D
0,0,6,11,2,3,1681,7,53,12,11,A
0,0,5,11,5,10,16551,649,843,302,7313,B
