@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
0,17,17,0,0,6,0,0,0,278,0,32,0,75,A
0,45,58,0,0,6,14,26,40,1139,7,162,36,36,C
0,0,35,0,0,5,0,0,0,8656,11,543,42,149,B
0,0,37,0,0,5,12,26,38,6064,7,420,73,68,C
0,0,40,0,0,4,6,13,19,8656,11,543,42,149,B
0,0,6,0,0,4,0,0,0,1220,29,1076,1801,760,A
0,0,6,0,0,4,0,0,0,282,0,327,934,258,A
0,0,20,0,0,4,0,0,0,2587,4,83,19,52,A
0,0,32,0,0,3,0,0,0,97303,1576,26429,615,20977,B
0,0,2,0,0,1,0,0,0,1050,2,225,249,568,A
0,0,2,0,0,1,0,0,0,87449,1769,1237,718,3870,A
0,0,4,0,0,0,0,0,0,76527,214,1784,926,2152,A
17,31,41,6,12,14,7,13,21,329435,6164,18144,459,3633,C
8,15,22,4,10,12,0,0,0,61480,2192,2519,424,598,A
10,23,33,6,12,14,7,14,21,325505,14513,20359,311,2148,B
2,3,3,1,7,10,0,0,0,54741,303,2240,401,2090,A
0,3,3,0,4,8,0,0,0,1113,29,71,83,821,A
3,4,6,5,11,12,12,26,41,9935,799,1106,104,8659,C
5,8,9,5,11,12,0,0,0,98,0,1,0,54,A
3,5,7,4,10,12,0,0,0,1872,12,265,300,710,A
0,3,3,0,5,8,0,0,0,54741,303,2240,401,2090,A
0,5,5,0,4,8,0,0,0,1113,29,71,83,821,A
20,28,29,5,11,12,0,0,0,15043,136,1703,238,464,C
6,14,16,4,10,11,0,0,0,98,0,1,0,54,A
18,23,24,6,12,15,0,0,0,2969,13,205,32,103,A
8,10,11,6,12,15,0,0,0,27425,2590,531,37,9872,A
16,19,20,6,12,15,0,0,0,8149,74,1223,1047,320,A
4,4,4,6,12,16,0,0,0,27425,2590,531,37,9872,A
6,8,9,6,11,16,0,0,0,27425,2590,531,37,9872,A
16,31,40,6,11,15,7,14,21,79247,379,1789,1438,1328,C
22,31,37,6,11,15,7,14,21,11553,18,574,44,166,B
22,26,31,5,11,15,7,14,21,3787,6,239,90,63,B
3,3,3,5,11,15,0,0,0,3787,6,239,90,63,A
4,4,4,5,11,14,0,0,0,3787,6,239,90,63,A
18,25,32,5,10,13,0,0,0,3787,6,239,90,63,B
7,9,14,5,10,13,0,0,0,11,1,1,0,11,A
7,9,9,4,10,12,0,0,0,2054,400,286,151,1192,A
2,4,4,2,8,9,0,0,0,1347,164,452,528,1168,A
10,19,27,6,11,15,0,0,0,217898,11753,11736,183,2468,A
7,9,11,5,11,15,6,14,21,89707,15817,14341,1551,2667,C
3,8,8,4,10,14,0,0,0,2784,0,1,0,1636,A
5,8,10,3,9,13,0,0,0,662,5,183,116,468,A
16,20,23,5,11,16,0,0,0,155,1,107,148,20,A
9,11,12,4,10,15,0,0,0,109470,548,6100,283,894,A
6,8,9,4,10,15,7,14,22,54741,303,2240,401,2090,A
5,9,10,4,10,14,0,0,0,54741,303,2240,401,2090,A
16,21,36,4,10,14,0,0,0,109879,4376,10372,1581,1943,B
16,17,18,4,10,14,0,0,0,8149,74,1223,1047,320,A
3,6,6,4,10,14,0,0,0,4544,0,2,0,3641,A
3,6,6,2,8,12,0,0,0,3888,281,183,94,467,A
4,5,6,5,11,16,0,0,0,6937,1151,539,1005,4452,A
6,11,12,5,11,16,0,0,0,76527,214,1784,926,2152,A
6,7,7,5,11,16,0,0,0,25900,1404,1003,354,552,A
7,8,8,5,11,16,0,0,0,25900,1404,1003,354,552,A
21,30,34,5,12,17,0,0,0,7997,26,568,124,235,B
27,38,50,5,11,15,0,0,0,7997,26,568,124,235,B
33,43,58,5,11,16,8,14,24,23813,118,3294,1189,306,C
13,22,29,5,11,16,0,0,0,325505,14513,20359,311,2148,A
4,4,4,3,9,14,0,0,0,28,1,58,50,8,A
4,10,18,6,12,18,21,44,65,41348,6137,3497,446,2269,C
17,28,32,5,12,18,0,0,0,991,1087,259,3,111,C
4,6,7,5,11,18,0,0,0,627,0,68,0,415,A
16,29,33,5,11,17,7,15,22,13363,398,624,486,4417,A
3,6,9,1,7,12,7,14,22,54741,303,2240,401,2090,A
13,19,31,6,12,18,0,6,13,52008,218,3972,581,544,B
15,21,37,6,12,18,24,45,66,147417,29039,12137,397,1404,C
7,9,9,5,12,17,0,0,0,9038,39,424,472,133,A
2,3,3,5,11,17,0,0,0,260,165,190,239,107,A
5,5,8,5,11,17,0,0,0,76527,214,1784,926,2152,A
20,30,32,4,10,16,8,15,22,99,2,66,53,61,B
0,3,3,0,5,10,0,0,0,7169,9,137,212,3809,A
35,44,47,5,11,17,0,0,0,7997,26,568,124,235,B
5,5,5,4,10,17,0,0,0,2938,24,221,69,55,A
2,2,3,4,10,16,0,0,0,6937,1151,539,1005,4452,A
4,15,20,5,11,17,7,14,22,5678,119,471,0,2393,A
20,26,35,5,11,16,0,0,0,414,0,173,150,18,A
14,26,35,5,11,16,0,0,0,113,0,7,0,92,B
14,25,31,4,11,16,0,0,0,414,0,173,150,18,A
13,21,35,4,10,16,0,0,0,97303,1576,26429,615,20977,C
2,4,5,2,9,15,0,0,0,8283,1103,1806,756,149,A
10,10,10,4,11,16,0,0,0,22,4,90,54,9,A
4,4,7,2,9,14,0,0,0,42823,901,2147,422,2970,A
2,3,3,1,7,13,0,0,0,639,0,185,382,343,A
20,27,30,5,12,17,0,0,0,351,2,75,327,4,B
7,10,20,5,11,15,0,0,0,1073,258,507,110,46,B
19,32,39,5,11,15,8,15,23,4066,0,218,40,54,B
4,9,10,5,11,16,0,0,0,25900,1404,1003,354,552,A
13,14,16,5,11,17,8,15,23,5025,10,311,40,56,B
