@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
2,2,5,12,0,0,A
21,29,5,12,13,26,B
13,25,4,11,28,52,C
12,14,6,13,0,0,A
19,30,5,12,21,42,C
26,38,5,12,0,0,A
8,9,5,12,0,0,A
14,19,5,12,0,0,A
9,14,4,11,0,0,A
16,29,4,11,0,0,B
2,2,5,12,0,0,A
18,28,5,12,0,0,B
7,9,4,11,0,0,A
19,26,4,11,7,13,C
2,5,3,10,0,0,A
0,6,0,6,0,0,A
4,7,6,12,7,13,C
16,28,6,12,0,0,B
26,38,6,11,7,14,C
2,3,3,10,0,0,A
0,17,0,7,0,0,C
22,26,7,13,0,0,B
8,16,7,12,14,26,B
24,32,6,12,18,39,C
18,28,6,11,6,13,C
0,4,0,5,0,0,A
17,23,5,11,0,0,B
14,28,5,11,0,0,A
2,7,1,7,0,0,A
23,42,5,6,0,0,B
21,25,5,11,0,0,B
16,22,5,11,13,27,B
18,23,4,11,0,0,B
10,21,4,11,0,0,A
12,27,4,11,7,13,C
11,19,4,10,0,0,A
7,12,3,9,7,14,C
10,18,1,7,6,13,B
5,8,1,7,6,13,A
6,9,1,7,0,0,A
5,8,1,7,0,0,A
21,28,4,11,0,0,B
6,8,4,11,0,0,A
12,20,6,12,0,0,B
4,8,5,11,0,0,A
18,23,5,11,0,0,A
18,24,4,11,7,14,C
17,24,4,10,0,0,B
17,23,5,11,0,0,A
0,7,0,3,0,0,A
13,16,5,12,0,0,C
6,7,1,8,0,0,A
0,6,0,6,0,0,A
9,18,7,14,7,14,C
15,22,6,13,7,13,B
13,19,6,13,0,0,A
13,28,6,12,7,13,B
12,17,6,12,0,0,A
22,34,5,12,0,0,A
4,4,5,12,0,0,A
11,19,5,12,0,0,B
3,3,6,13,0,0,A
5,8,6,13,0,0,A
22,29,5,12,0,0,B
20,26,5,12,14,26,C
12,16,5,12,0,0,C
18,18,5,11,0,0,A
3,6,1,8,0,0,A
4,6,1,8,0,0,A
3,6,1,8,0,0,A
0,12,0,4,0,0,A
13,21,7,13,7,13,C
5,12,4,11,7,13,B
5,7,4,10,0,0,A
7,9,3,9,0,0,A
12,16,6,12,7,13,B
6,7,6,12,0,0,A
7,9,5,12,0,0,A
5,6,5,11,0,0,A
7,10,5,11,0,0,A
19,30,5,12,0,0,B
12,20,5,11,7,13,C
4,21,3,9,21,40,C
4,5,5,12,0,0,A
2,10,2,9,0,0,A
2,2,2,8,0,0,A
10,12,1,8,6,12,B
2,2,4,10,0,0,A
2,2,6,12,0,0,A
3,4,4,10,0,0,A
12,20,5,12,0,0,B
15,20,5,12,7,13,C
3,4,5,12,0,0,A
11,17,5,11,0,0,B
21,28,5,11,6,13,C
4,5,3,9,0,0,A
0,2,0,6,0,0,A
5,6,5,12,0,0,A
7,12,4,11,0,0,A
15,17,5,12,0,0,B
3,3,5,12,0,0,A
0,5,0,4,0,0,A
3,3,4,10,0,0,A
2,2,0,7,0,0,B
15,26,6,12,0,0,B
6,8,6,12,0,0,A
6,8,5,12,0,0,A
4,8,4,11,0,0,A
3,3,4,10,0,0,A
5,10,4,10,0,0,A
0,2,0,6,0,0,A
0,2,0,5,0,0,A
12,24,5,12,0,0,A
17,31,5,11,0,0,B
7,8,6,13,0,0,A
2,4,2,9,0,0,A
11,13,6,13,0,0,A
3,5,2,9,0,0,B
15,22,6,12,7,13,C
27,28,5,12,0,0,B
13,22,5,11,0,0,B
7,13,5,11,7,13,C
19,26,5,11,14,26,C
9,16,6,12,0,0,A
6,8,4,11,0,0,A
7,10,6,12,0,0,A
9,12,5,11,0,0,A
0,3,0,6,0,0,A
12,15,6,13,0,0,A
11,13,5,12,0,0,C
15,23,5,11,0,0,C
6,8,3,10,0,0,A
5,9,3,9,0,0,A
7,8,6,12,0,0,A
7,7,5,12,0,0,A
6,7,5,11,0,0,A
0,0,0,0,0,0,A
5,7,5,12,0,0,A
8,10,5,11,0,0,A
14,18,5,12,12,26,C
5,7,5,12,0,0,A
4,5,5,12,0,0,A
5,7,5,12,0,0,A
5,7,4,10,0,0,A
12,13,6,12,0,0,A
10,13,4,11,0,0,A
4,8,1,7,7,14,B
9,24,5,12,7,13,C
3,4,5,11,0,0,A
11,19,4,10,6,13,C
4,8,3,10,6,13,B
20,20,5,11,0,0,A
10,11,4,10,0,0,A
