@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,2,0,8,3,4,A
0,6,0,12,5,5,A
0,4,0,11,8,13,B
0,2,0,9,2,4,B
0,6,0,12,5,5,A
0,5,0,12,11,15,B
8,5,15,12,12,17,C
0,2,0,8,5,5,A
0,0,0,4,0,4,B
8,5,14,12,13,20,C
0,5,0,11,2,4,A
7,3,14,10,7,12,B
0,0,0,4,0,2,A
0,6,0,12,3,4,A
16,5,28,12,11,14,C
0,5,0,12,22,22,B
0,5,0,12,18,18,B
0,5,0,12,18,28,C
7,5,14,12,16,24,C
0,2,0,9,5,7,A
0,2,0,8,3,9,B
8,5,14,12,8,12,D
7,5,14,11,7,11,D
0,4,0,11,3,4,A
0,4,0,10,4,5,A
0,0,0,2,0,3,A
0,4,0,11,2,3,A
0,6,0,12,25,33,D
0,6,0,12,4,4,B
7,6,14,12,14,23,D
0,3,0,10,4,6,B
0,1,0,7,5,5,A
0,0,0,0,0,0,B
0,4,0,10,4,8,C
0,4,0,11,10,17,D
0,1,0,8,4,4,A
0,5,0,11,7,7,B
0,5,0,11,7,7,B
0,3,0,10,3,4,B
0,0,0,0,0,0,A
0,6,0,13,5,5,B
0,2,0,8,3,3,A
0,5,0,12,5,5,B
0,4,0,11,3,3,A
0,0,0,7,0,3,A
0,6,0,13,2,2,A
0,6,0,13,6,8,A
7,6,14,12,11,22,D
7,5,14,11,4,13,D
0,5,0,11,2,7,B
0,4,0,11,2,4,B
0,0,0,5,0,2,A
0,7,0,13,4,6,A
0,6,0,13,2,2,B
0,6,0,13,6,7,B
0,6,0,13,6,7,B
14,5,27,12,9,13,C
0,5,0,12,2,5,A
0,5,0,12,6,7,B
0,5,0,11,4,5,B
0,3,0,9,2,3,A
7,0,13,5,0,8,D
0,6,0,13,2,3,A
0,5,0,11,3,3,A
0,5,0,12,2,3,B
13,5,27,11,12,27,D
0,2,0,9,13,17,C
0,5,0,11,18,22,C
0,5,0,11,11,16,C
0,2,0,8,4,4,A
0,6,0,12,10,13,B
0,2,0,8,6,7,A
0,1,0,7,5,5,B
0,4,0,11,3,3,B
0,2,0,8,2,2,A
0,5,0,12,15,15,B
0,5,0,12,5,6,B
0,5,0,12,13,13,B
0,5,0,11,3,3,A
0,5,0,12,5,5,A
0,5,0,11,6,6,A
0,2,0,8,2,2,B
0,5,0,11,3,4,B
0,4,0,11,3,3,A
0,4,0,11,3,3,A
0,4,0,10,8,14,B
0,0,0,0,0,0,A
0,6,0,13,22,25,B
0,4,0,11,2,3,A
0,4,0,11,7,11,B
0,7,0,13,5,5,B
0,6,0,13,4,6,B
0,0,0,6,0,2,B
7,6,14,12,14,24,D
0,0,0,1,0,5,A
0,6,0,12,12,22,C
7,5,14,12,6,9,C
